bank,rating,mean_vader_sentiment,mean_bert_sentiment,count_reviews
CBE,1,-0.09375,-0.6875,64
CBE,2,-0.047619047619047616,-0.7142857142857143,21
CBE,3,0.12121212121212122,-0.7575757575757576,33
CBE,4,0.5094339622641509,-0.20754716981132076,53
CBE,5,0.6596385542168675,0.4879518072289157,332
