review,rating,date,bank,source
"I had a disappointing experience with Dashen Bank's Super Up service. The app is very slow and takes forever to load during transactions, which is incredibly frustrating. Additionally, it doesn't generate receipts for any transactions, making it difficult to keep track of my expenses. I also reached out to customer support, but the response time was longer than expected. Overall, I was hoping for a better experience, but I find the service lacking and in need of improvement.",2,2025-04-09 21:49:23,DASHEN,Google Play
slow cumbersome,3,2025-04-08 12:41:35,DASHEN,Google Play
Is really 💀,2,2025-04-08 08:50:03,DASHEN,Google Play
It's slow to send OTP. it's not reliable. It crushed many times. It needs improvement in many ways,1,2025-04-07 23:02:05,DASHEN,Google Play
"This is the worst mobile banking experience I’ve ever had. It doesn’t work when you need it, and it randomly updates itself without warning. You can’t make transactions whenever you want. It’s a nightmare for anyone who relies on this as their main banking option, especially those with a lot of money in their account. I’m lucky I’m not one of them, but still, it’s infuriating not being able to access your money when you need it.""l",1,2025-04-07 20:19:22,DASHEN,Google Play
"I have experienced on using the app of Banks in Ethiopia, this Dashen sup is like old version of the applications for using. I gave 3 star for it's very low speed while login and processing",3,2025-04-07 18:05:38,DASHEN,Google Play
proud by dashen bank,5,2025-04-06 14:46:12,DASHEN,Google Play
best,5,2025-04-06 08:51:01,DASHEN,Google Play
best of best,5,2025-04-05 09:08:13,DASHEN,Google Play
nice,5,2025-04-04 23:38:52,DASHEN,Google Play
This app is not working unless you turn off developer mode on your phone. So it takes your rights to just use it.,2,2025-04-04 21:24:36,DASHEN,Google Play
real super up,5,2025-04-04 21:12:55,DASHEN,Google Play
it's very disappointing fix it as soon as possible not expected from dashin bank fix it,1,2025-04-04 20:40:29,DASHEN,Google Play
why dashen bank workers hidden my ATM Card 🏧?it's a big problem to me,5,2025-04-04 20:05:19,DASHEN,Google Play
good,5,2025-04-04 16:57:03,DASHEN,Google Play
tanku,5,2025-04-04 16:56:25,DASHEN,Google Play
very nice,5,2025-04-04 16:15:18,DASHEN,Google Play
perfect,5,2025-04-03 02:17:59,DASHEN,Google Play
goood,5,2025-04-02 15:03:47,DASHEN,Google Play
why does it ask me for both pin and opt even the opt is touch let alone both,2,2025-04-02 15:02:36,DASHEN,Google Play
it is best app easy to use,5,2025-04-01 15:51:17,DASHEN,Google Play
It is very easy to use and powerful application.,3,2025-04-01 14:16:55,DASHEN,Google Play
this apps have a good feature but but some features like developer mode turn off irritate user,3,2025-04-01 00:13:13,DASHEN,Google Play
"This is not only a mobile banking app, it is beyond that. We will access our account easily, we are able to get many information easily here. i.e. exchage rate. We are able to chat with others, we are able to budget, we are able to transfer to other bank and within Dashen. we are able to access many accounts in a single app, we are able to pay bills in QR scan, we are able to make payments and order delivery items here in a single app. #Always one step ahead.",5,2025-03-31 21:46:13,DASHEN,Google Play
wallahi very fantastic Bank,5,2025-03-31 17:29:06,DASHEN,Google Play
"Waw, It's amazing app. thank you Dashen Bank.",5,2025-03-31 16:21:51,DASHEN,Google Play
ok,5,2025-03-30 12:22:57,DASHEN,Google Play
nice app,5,2025-03-29 10:09:55,DASHEN,Google Play
"I’ve been using the Dashen Bank Super App for a while now, and it’s been a game-changer. The app is super fast and reliable—I’ve never had an issue with transactions being delayed. One of my favorite features is the chat banking, which makes it so easy to do things like check my balance or transfer money just by typing a quick message. The budgeting tool is also really useful. It helps me keep track of my spending and gives me a clear picture of where",5,2025-03-28 09:30:54,DASHEN,Google Play
good,5,2025-03-28 09:16:22,DASHEN,Google Play
nice application,4,2025-03-27 16:12:42,DASHEN,Google Play
Very good app that like it too. B/c it is very fast and easy to use.,5,2025-03-26 20:31:02,DASHEN,Google Play
best experiences,5,2025-03-26 11:14:01,DASHEN,Google Play
too slow to use.,1,2025-03-26 08:36:38,DASHEN,Google Play
ጥሩ ነው,5,2025-03-25 02:29:07,DASHEN,Google Play
the worst app in the market only good ui,1,2025-03-22 22:00:42,DASHEN,Google Play
nic,5,2025-03-22 17:19:22,DASHEN,Google Play
በጣም ቅልል ያለ አፕ በርቱልን ለአጠቃቀም ምቹ,5,2025-03-22 12:23:39,DASHEN,Google Play
thanks for all digital transaction,5,2025-03-21 16:40:14,DASHEN,Google Play
Good,4,2025-03-21 08:27:47,DASHEN,Google Play
Best,5,2025-03-20 13:16:10,DASHEN,Google Play
Good,5,2025-03-20 09:01:08,DASHEN,Google Play
"This app is not supporting smart phones that have old android version and so it is none inclusive. At the same time the amole lite is not working properly and once you reached to maximum otp trail mistakes due to network or other errors like stacks , you will be tied up to make Transactions. Ohh... tired!!!!!",1,2025-03-20 02:39:23,DASHEN,Google Play
it's Be Come Busy &not working good,1,2025-03-20 02:36:52,DASHEN,Google Play
I wanted to share some concerns about your Supper App. It appears to be experiencing reliability issues and isn’t performing as expected. I hope this can be addressed soon to improve the user experience. One star 🌟 for now.,1,2025-03-19 15:49:23,DASHEN,Google Play
"best ever digital banking sector essay for understanding ,smart and convince for using",5,2025-03-19 13:46:08,DASHEN,Google Play
good and latest,5,2025-03-18 15:59:02,DASHEN,Google Play
The best App of all,5,2025-03-17 22:37:55,DASHEN,Google Play
Worst app ever,1,2025-03-15 23:44:10,DASHEN,Google Play
"This app is the most unreliable mobile banking application I have ever used for transaction, it is very late, non-responsive and full of bugs. Its is very disappointing. It is just inconvinient, and not user friendly and compatabke at all !!!!!!",1,2025-03-14 15:45:53,DASHEN,Google Play
Naiycapp,5,2025-03-14 01:06:26,DASHEN,Google Play
Good,5,2025-03-13 13:48:00,DASHEN,Google Play
The app is good but it has no USSD option,4,2025-03-13 10:28:45,DASHEN,Google Play
Hey great,5,2025-03-12 13:58:05,DASHEN,Google Play
I have used many mobile banking and also tellebir and mpesa nothing come close to this app. Well done Dashen indeed one step a head. A lot of cool features that amole hasn't the receipt and the account statement is superb for me. I hope you add more integrated small apps to.,5,2025-03-12 09:52:45,DASHEN,Google Play
The app is good but it ask update every week so tiring,2,2025-03-11 14:41:47,DASHEN,Google Play
It good and easy to use,5,2025-03-11 10:08:03,DASHEN,Google Play
በጣም አሪፍ መተግበሪያ ነው ። አመሠግናለሁ ።,5,2025-03-10 17:38:29,DASHEN,Google Play
"Greately improved since it was released! I really like the budget and expense tegistration feature. For ATM or POS withdrawals, it is not possible to account these expenses, even if it is visible on the transactions window. If that can be worked on, it will be improve so much!!",5,2025-03-10 13:06:34,DASHEN,Google Play
Excellent,5,2025-03-10 13:06:14,DASHEN,Google Play
Good,5,2025-03-08 14:29:09,DASHEN,Google Play
Wow Excellent app,5,2025-03-08 12:43:31,DASHEN,Google Play
Nice app but i experience some issues with others banks transfer it keeps saying account is not exist most of the time.,4,2025-03-08 11:47:02,DASHEN,Google Play
Add the option to send money to any telebirr account like amole does.,3,2025-03-08 10:45:48,DASHEN,Google Play
It's best,5,2025-03-08 10:13:14,DASHEN,Google Play
no one dashen yichlal,5,2025-03-07 10:15:57,DASHEN,Google Play
In short ! I'm so proud of this app developers for their highest professional of developing. Thanks,5,2025-03-06 14:41:23,DASHEN,Google Play
The speed is too slow. Need some improvements.,2,2025-03-06 03:03:46,DASHEN,Google Play
good app,5,2025-03-04 10:49:10,DASHEN,Google Play
Fantastic app,5,2025-03-01 10:53:56,DASHEN,Google Play
Good,5,2025-02-28 21:43:31,DASHEN,Google Play
I wish dark mode feature is add as an option but it's good app,5,2025-02-27 17:12:06,DASHEN,Google Play
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-02-26 17:02:40,DASHEN,Google Play
"The Dashen Super App is a game-changer in digital banking, offering a seamless and convenient experience. With its user-friendly interface, fast transactions, and a wide range of financial services, it simplifies banking for customers. Features like bill payments, fund transfers, mobile top-ups, and loan applications make it an all-in-one solution. Plus, its security measures ensure safe and reliable Experiance effortless banking",5,2025-02-26 13:30:26,DASHEN,Google Play
ከጰነጨየጠ,2,2025-02-26 13:20:24,DASHEN,Google Play
"It has good feature. But, it is Very Slow! difficult to pay or receive. The Speed should be improved, else I didn't recommend.",2,2025-02-24 20:23:10,DASHEN,Google Play
Excellent app,5,2025-02-24 11:47:44,DASHEN,Google Play
አፕልኬሽኑ አሪፍ ሆኖ ሳለ ቴሌብር ወደራስ ብቻ ለምን ሆነ እንደ ድሮው ለሰውም መላክ ቢቻል,4,2025-02-22 16:28:31,DASHEN,Google Play
No good,1,2025-02-22 04:45:39,DASHEN,Google Play
Wow amazing app,5,2025-02-21 11:27:50,DASHEN,Google Play
best platform... Please avoid otp,5,2025-02-21 08:28:04,DASHEN,Google Play
Super smart app.,5,2025-02-18 15:28:05,DASHEN,Google Play
best 👍👍,5,2025-02-16 14:43:36,DASHEN,Google Play
I don't know what happens but the application is not send verification pass code you should fix that,1,2025-02-16 13:01:44,DASHEN,Google Play
This app doesn't work on my phone my phone is Samsung Galaxy s7 android version 9 All other financial apps work like telebirr CBE M_pesa...,1,2025-02-14 15:13:54,DASHEN,Google Play
"Dashen Super app is secure, very easy to use and has more services uniquely like budgeting, chat, IPS...",5,2025-02-14 11:46:51,DASHEN,Google Play
Amazing and user friendly supper app and looking forward the additional features,5,2025-02-14 07:33:32,DASHEN,Google Play
it's amazing app i have seen ever,5,2025-02-13 22:00:54,DASHEN,Google Play
One star deducted for not to able to transfer to telebirr.,4,2025-02-13 20:41:25,DASHEN,Google Play
ጥሩ ነው ግን በደንብ ሊሸሻል ይገባል,4,2025-02-13 15:37:01,DASHEN,Google Play
ፍጥነቱ በጣም አሪፍ ነው! እና ቀለል ያለ ነው ! ነገር ግን ተጨማሪ ወደ ቴሌብር ኤጀንት መላኪያ አፕ ቢካተትበት ጥሩ ነው::,4,2025-02-12 22:04:57,DASHEN,Google Play
Keep up the good work and pleas add water and electric utility payment,5,2025-02-12 11:32:07,DASHEN,Google Play
The app missed some important features 1. It does't show recent transactions 2. Transfer to Telebirr limited to own telebirr 3. The statement does't show running balance,2,2025-02-11 08:17:00,DASHEN,Google Play
"Simple, Fast and Easy ⭐⭐⭐🎉",4,2025-02-10 21:50:05,DASHEN,Google Play
"የሚገርም aplication ነው, ነገር ግን ብር ትራንስፈር ሲደረግ ያለ ፒን መሆኑ risk አለው ሁሉ ጊዜ የ ትራንስፈር መደምደሚያ ፒን መሆን አለበት!!!!!!!!!!!!:: አሱ ቢስተካከል 5 star አስከዛው ግን 4 ሰጥቻለው::",4,2025-02-09 13:11:56,DASHEN,Google Play
Baankii daashin baankii hudna galeessa galatoomaa isinii woliin jirra Godina jimmaa magaalaa Aggaaroo irraa Muaz Abamecha Abamilki,5,2025-02-07 22:53:12,DASHEN,Google Play
Good,5,2025-02-07 18:43:21,DASHEN,Google Play
It doesn't work,1,2025-02-07 15:51:08,DASHEN,Google Play
"#Dashen Super App; Super easy to use, secure, and fast transaction. Love it!",5,2025-02-07 14:32:13,DASHEN,Google Play
"I tried the new Dash Bank Super App today, and it's amazingly easy and fun.I recommend you download and use it. You really like it",5,2025-02-06 20:21:48,DASHEN,Google Play
Gud app kegza ga mezmn endze new aind ermjh kedme nachu hlam,5,2025-02-06 17:44:43,DASHEN,Google Play
"Good app, bad security",3,2025-02-06 14:20:36,DASHEN,Google Play
On Transaction page only show sent Transaction. Try to include received transaction.,4,2025-02-06 13:25:50,DASHEN,Google Play
Wonderful Application 😍,5,2025-02-05 19:02:00,DASHEN,Google Play
I loved it,5,2025-02-05 16:14:14,DASHEN,Google Play
አሁን ገና አንድ እርምጃ ቀደማችው,5,2025-02-04 18:19:13,DASHEN,Google Play
I am so thankful for having this best app Dashen one step ahead,5,2025-02-04 15:04:14,DASHEN,Google Play
Not good this app,1,2025-02-04 13:32:40,DASHEN,Google Play
Best app,5,2025-02-04 12:02:02,DASHEN,Google Play
Excellent app ever but it needs improvement on speed and transaction lists,1,2025-02-03 21:17:30,DASHEN,Google Play
Perfect,5,2025-02-02 23:05:20,DASHEN,Google Play
"It does not work functional ,",1,2025-02-02 23:04:28,DASHEN,Google Play
Ok,5,2025-02-02 00:15:21,DASHEN,Google Play
all of dashen bank customers use the application it is good to use,5,2025-02-01 21:57:58,DASHEN,Google Play
Gret experience,5,2025-02-01 05:43:03,DASHEN,Google Play
All good we need more,3,2025-01-31 08:58:16,DASHEN,Google Play
"Dashen super app is easy to use, fast and robust",5,2025-01-31 08:37:38,DASHEN,Google Play
it was amazing app.....thank you dashen bank....,5,2025-01-30 23:28:41,DASHEN,Google Play
Dashen bank super app for easy life.,5,2025-01-30 20:10:28,DASHEN,Google Play
Excellent UI/UX and beyond Banking services👍👍,5,2025-01-30 17:39:16,DASHEN,Google Play
Send to oher bank የሚለዉ ዉስጥ ገብተን ወደ addisinternational bank ለመላክ አይሰራም ሁለተኛ ደግሞ ወደ cbe birr ለመላክ account number ይጠይቃል ሞባይል ነበር ነዉ መጠየቅ ያለበት ይመስለኛል,2,2025-01-29 19:10:35,DASHEN,Google Play
Best,5,2025-01-29 11:16:30,DASHEN,Google Play
Just Wow,5,2025-01-29 08:41:59,DASHEN,Google Play
mobile banking to the next level,5,2025-01-28 10:59:00,DASHEN,Google Play
Nice,5,2025-01-25 20:20:45,DASHEN,Google Play
The first 3 star review is me,3,2025-01-25 14:59:37,DASHEN,Google Play
Is not working,1,2025-01-25 09:18:55,DASHEN,Google Play
"Fast, reliable and user friendly. Amazing chatting features. Keep it up! Always one step ahead!",5,2025-01-24 20:44:34,DASHEN,Google Play
V good ❗️,5,2025-01-24 09:40:41,DASHEN,Google Play
"This app is literally the best thing ever The chat banking is so easy just text and it’s done Super smooth, fast, and honestly a life saverIf you haven’t downloaded it yet you’re missing out big time",5,2025-01-23 18:13:50,DASHEN,Google Play
I only see white page,2,2025-01-23 15:52:15,DASHEN,Google Play
Excellent banking app for all your needs! Who needs a physical branch when you can use Dashen Bank Super App Instead! I've never had an issue with anything that Dashen Bank Super App haven't handled swiftly and resolved to my satisfaction and above I don't often write reviews but this is an app/bank that I would highly recommended to everyone 💯 👌👍,5,2025-01-22 16:53:55,DASHEN,Google Play
Amizing Application 😍,5,2025-01-22 14:17:28,DASHEN,Google Play
Fastest and easy to use,5,2025-01-22 11:03:09,DASHEN,Google Play
Ok,5,2025-01-21 22:26:27,DASHEN,Google Play
ጥሩ ነው,5,2025-01-21 15:46:49,DASHEN,Google Play
ስም ብቻ 😏,2,2025-01-21 07:06:04,DASHEN,Google Play
Exellent app with exellent banking system and exellent bank ever,5,2025-01-21 05:57:30,DASHEN,Google Play
Amazing app to use as usual! But why option of transferring to Telebirr and M pesa which was available on Amole app is omitted?? Dasheen is my favourite keep it up.,4,2025-01-20 19:57:00,DASHEN,Google Play
Needs some improvement,5,2025-01-20 16:49:52,DASHEN,Google Play
Amazing,5,2025-01-20 16:36:48,DASHEN,Google Play
Amazing super app,5,2025-01-19 16:23:49,DASHEN,Google Play
I hope it will be better than amole,5,2025-01-18 13:03:55,DASHEN,Google Play
Wly Super App ilove it ❤️ 😍 💖 💕,5,2025-01-18 08:19:42,DASHEN,Google Play
Wow,5,2025-01-17 22:14:07,DASHEN,Google Play
Dashen yichalal. Ewnetem one step a head,5,2025-01-17 20:10:52,DASHEN,Google Play
It has a Good performance but need more upgrade for more performance like when we login account not be fast balance show other thing looking good. Carry on. Thanks so much for Greatest service,4,2025-01-17 20:04:25,DASHEN,Google Play
"It is a very wonderful work that has saved its time. That is why it is ""Always one step ahead!""",5,2025-01-17 12:04:57,DASHEN,Google Play
“Life-changing!” I can’t imagine going back to traditional banking after using this app. It’s so convenient.,5,2025-01-17 10:18:44,DASHEN,Google Play
Pro max,5,2025-01-17 08:04:15,DASHEN,Google Play
The most good app and easy,5,2025-01-16 23:14:01,DASHEN,Google Play
"Excellent and user friendly App. Excellence is what makes you always one step ahead. Dashen Bank, Always One Step Ahead !!",5,2025-01-16 19:10:53,DASHEN,Google Play
Proud to be dashen family . Shout out to the serial entrepreneur 👏,5,2025-01-16 18:59:47,DASHEN,Google Play
Excellent app.,5,2025-01-16 16:11:59,DASHEN,Google Play
First ATM in East africa ⭐️⭐️⭐️⭐️⭐️,5,2025-01-16 15:46:32,DASHEN,Google Play
Best app.,5,2025-01-16 15:09:38,DASHEN,Google Play
Better Move to catch the competition up👍,5,2025-01-16 13:44:01,DASHEN,Google Play
"Great job my home, my bank.",5,2025-01-16 08:57:21,DASHEN,Google Play
Wow,5,2025-01-16 08:51:15,DASHEN,Google Play
Always one step ahead! What a masterpiece.,5,2025-01-16 00:09:32,DASHEN,Google Play
Great App Well done Dashen Bank,5,2025-01-15 22:06:06,DASHEN,Google Play
Great!,5,2025-01-15 21:37:03,DASHEN,Google Play
Nice,5,2025-01-15 21:02:45,DASHEN,Google Play
"I love it but it has bugs during confirmation of password! So, please make it functional",5,2025-01-15 20:02:01,DASHEN,Google Play
Always one step forward,5,2025-01-15 19:51:06,DASHEN,Google Play
"It's great! But it will be advanced if you include a caption that allow customers to transfer to Telebirr account. Dashen Bank, ""ኩሉ ግዜ፡ ሓደ ስጕሚ ቀዳሚ።"" (Always one step ahead!)",4,2025-01-15 18:49:41,DASHEN,Google Play
Small size with vast features and functionalities.,5,2025-01-15 17:58:34,DASHEN,Google Play
Amazing app 👏 👌 Dashen bank one step a head,5,2025-01-15 15:55:14,DASHEN,Google Play
Best app,5,2025-01-15 15:24:00,DASHEN,Google Play
"It has a great application features from the beginning. I'm glad to use it even I haven't used it yet because I haven't activated my account yet. But it's simple, comprehensive, full of information, and fast. በርቱ ዳሸኖች: The super app has impressed me more than I expected.",5,2025-01-15 15:11:51,DASHEN,Google Play
Dashen Bank Always One Step Ahead!,5,2025-01-15 11:10:01,DASHEN,Google Play
U can't create account,1,2025-01-15 11:08:21,DASHEN,Google Play
Really super app... so seamless and with a nice user interface .. we are proud of you dashen bank ...,5,2025-01-15 10:59:17,DASHEN,Google Play
We will see it,2,2025-01-15 10:34:46,DASHEN,Google Play
Always one step a head!,5,2025-01-15 10:26:27,DASHEN,Google Play
"A lightweight,catchy and smooth app",5,2025-01-15 10:08:36,DASHEN,Google Play
Very impressive interface with best security feature and user friendly app.,5,2025-01-15 10:00:40,DASHEN,Google Play
It is so far so good it has a unique features than telebirr good job Dashen,5,2025-01-15 09:49:13,DASHEN,Google Play
"Yea , it's a good idea to make it with the bank name, it will help for the bank easily to find the application, and customers can easily downloed and use the product. I wish all the best for Dashen bank initiative.",5,2025-01-15 04:08:29,DASHEN,Google Play
This is My Bank!,5,2025-01-15 04:02:16,DASHEN,Google Play
Dashen Bank Always One Step Ahead!,5,2025-01-14 23:31:19,DASHEN,Google Play
"Truly, db => AlwaysOneStepAhead !!",5,2025-01-14 21:37:50,DASHEN,Google Play
ALWAYS ONE STEP AHEAD,5,2025-01-14 21:16:40,DASHEN,Google Play
Well developed,5,2025-01-14 20:52:14,DASHEN,Google Play
oh nice!!! i wish it's very nice app,5,2025-01-14 20:50:29,DASHEN,Google Play
Really the app looks like amazing. I can't wait to activate in the morning.,5,2025-01-14 20:32:32,DASHEN,Google Play
Applause 👏 Dashen Bank. One of the best super app inorder to pay easily and securely. One step a head.,5,2025-01-14 20:19:08,DASHEN,Google Play
Wow Dashen Super App 🚀🚀,5,2025-01-14 20:05:55,DASHEN,Google Play
All in One,5,2025-01-14 19:49:24,DASHEN,Google Play
The best Banking app I have ever seen,5,2025-01-14 18:57:03,DASHEN,Google Play
It looks good and simple to use,5,2025-01-14 18:56:03,DASHEN,Google Play
Best,5,2025-01-14 18:52:38,DASHEN,Google Play
App That makes Difference!,5,2025-01-14 18:32:11,DASHEN,Google Play
Faster and userfriendly,5,2025-01-14 11:38:11,DASHEN,Google Play
Best,5,2025-01-13 21:11:58,DASHEN,Google Play
"Waw Great and innovated,user friendly, always one step ahead",5,2025-01-13 21:01:12,DASHEN,Google Play
It's Best waww 🙏,5,2025-01-13 09:37:19,DASHEN,Google Play
Always one step ahead,5,2025-01-13 09:15:03,DASHEN,Google Play
"Like Me, I Hope It Works Better Than Before.",5,2025-01-11 11:36:49,DASHEN,Google Play
40% good,2,2025-06-04 18:37:37,DASHEN,Google Play
